Year,Location,Short Indicator Text,Long Indicator Text,Stratification 1,Stratification Group 1,Stratification 2,Stratification Group 2,Stratification Group 2 Label,Data Type,Data Type Label,Data Value,95 % CI,Lower CI,Upper CI,FIPS,Geolocation,Region,State Abbreviation,Census Division,CI Available Flag,Data Value Category,Year Group
2021,Kentucky,Stroke,Hospitalizations for Stroke as First-Listed Diagnosis in Adults with Diabetes,Race-Ethnicity,Non-Hispanic White,Not Stratified,Overall,Overall,Total Events,Total Events,"5,731",Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,Not Available,2020-2024
2021,Kentucky,Coronary Heart Disease,"Prevalence of Self-reported Coronary Heart Disease in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,75+,75+,Crude Rate (per 100),Crude Rate (per 100),29.3,20.2-38.4,20.2,20.2,21,POINT (-84.774971 37.64597),South,KY,East South Central,Yes,Medium,2020-2024
2021,Kentucky,Congestive Heart Failure,Hospitalizations for Congestive Heart Failure as First-Listed Diagnosis in Adults with Diabetes,Sex,Males,Age,75+,75+,Estimated Events Attributable to Diabetes,Events ATD (in thousands),630,Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,High,2020-2024
2021,Kentucky,Severe Vision Impairment or Blindness,"Prevalence of Self-reported Severe Vision Impairment or Blindness in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Not Stratified,Overall,Overall,Crude Rate (per 100),Crude Rate (per 100),13.7,10.2-17.3,10.2,10.2,21,POINT (-84.774971 37.64597),South,KY,East South Central,Yes,Medium,2020-2024
2021,Kentucky,Congestive Heart Failure,Hospitalizations for Congestive Heart Failure as First-Listed Diagnosis in Adults with Diabetes,Sex,Females,Age,75+,75+,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",56.8,39.6-74.0,39.6,74,21,POINT (-84.774971 37.64597),South,KY,East South Central,Yes,High,2020-2024
2021,Kentucky,Limitations in Instrumental Activities of Daily Living,"Prevalence of Self-reported Limitations in Instrumental Activities of Daily Living (IADL) in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,75+,75+,Estimated Cases (in thousands),Cases (in thousands),10.8,Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,Low,2020-2024
2021,Kentucky,Chronic Kidney Disease,"Prevalence of Chronic Kidney Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Overall,Age,65+,Total,Estimated Cases Attributable to Diabetes,Cases ATD (in thousands),"50,310",Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,Not Available,2020-2024
2021,Kentucky,Coronary Heart Disease,"Prevalence of Self-reported Coronary Heart Disease in Adults with Diabetes, Aged 18 Years or Older",Sex,Males,Not Stratified,Overall,Overall,Crude Rate (per 100),Crude Rate (per 100),25.4,Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,Medium,2020-2024
2021,Kentucky,Limitations in Instrumental Activities of Daily Living,"Prevalence of Self-reported Limitations in Instrumental Activities of Daily Living (IADL) in Adults with Diabetes, Aged 18 Years or Older",Sex,Females,Not Stratified,Overall,Overall,Age-adjusted Rate,Age-adjusted Rate (per 100),22.8,Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,Medium,2020-2024
2021,Kentucky,High Blood Pressure,"Prevalence of Self-reported High Blood Pressure in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,18+,Total,Crude Rate (per 100),Crude Rate (per 100),76.9,72.6-81.2,72.6,72.6,21,POINT (-84.774971 37.64597),South,KY,East South Central,Yes,High,2020-2024
2021,Kentucky,High Cholesterol,"Prevalence of Self-reported High Cholesterol in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,75+,75+,Crude Rate (per 100),Crude Rate (per 100),56.8,45.5-68.0,45.5,45.5,21,POINT (-84.774971 37.64597),South,KY,East South Central,Yes,High,2020-2024
2021,Kentucky,Congestive Heart Failure,Hospitalizations for Congestive Heart Failure as First-Listed Diagnosis in Adults with Diabetes,Sex,Females,Age,18+,Total,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",21.2,18.3-24.1,18.3,24.1,21,POINT (-84.774971 37.64597),South,KY,East South Central,Yes,Medium,2020-2024
2021,Kentucky,Congestive Heart Failure,Hospitalizations for Congestive Heart Failure as First-Listed Diagnosis in Adults with Diabetes,Race-Ethnicity,Non-Hispanic White,Not Stratified,Overall,Overall,Total Events,Total Events,"9,217",Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,Not Available,2020-2024
