Year,Location,Short Indicator Text,Long Indicator Text,Stratification 1,Stratification Group 1,Stratification 2,Stratification Group 2,Stratification Group 2 Label,Stratification 3,Data Type,Data Type Label,Data Value,FIPS,Geolocation,Region,State Abbreviation,Census Division,Data Value Available Flag,Data Value Category,Year Group
2021,California,Indirect Costs,Annual Total Indirect Costs Attributable to Diabetes,Not Stratified,Overall,Not Stratified,Overall,Overall,Mortality,Total Cost (Dollars in Millions),Total Cost ($ in Millions),"17,596.40",6,POINT (-121 37.63864),West,CA,Pacific,Yes,High,2020-2024
2021,Florida,By Payer,"Annual Direct Medical Costs Attributable to Diabetes, by Payer",Sex,Overall,Age,19-64,19-64,Medicaid,Per Person with Diabetes (Dollars),Per PWD ($),Not Available,12,POINT (-81.928961 28.93204),South,FL,South Atlantic,No,Not Available,2020-2024
2021,Oregon,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Females,Age,65-74,65-74,None,Cost Per Person with Diabetes (Dollars),Cost Per PWD ($),122,41,POINT (-120.155031 44.567449),West,OR,Pacific,Yes,Low,2020-2024
2021,Illinois,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Overall,Age,18-44,18-44,None,Cost Per Person with Diabetes Unable to Work (Dollars),Cost Per PWD Unable to Work ($),"61,830",17,POINT (-88.99771 40.48501),Midwest,IL,East North Central,Yes,High,2020-2024
2021,Idaho,"By Payer, Sex, Age","Annual Direct Medical Costs Attributable to Diabetes, by Payer, Sex, and Age Group",Sex,Females,Age,19-64,19-64,None,Total Medical Cost (Dollars in Millions): Medicaid,Medicaid ($ in Millions),118.6,16,POINT (-114.36373 43.68263),West,ID,Mountain,Yes,Low,2020-2024
2021,Wyoming,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Females,Age,19+,Total,None,Total Cost per Person with Diabetes (Dollars),Total Cost per PWD ($),"17,366",56,POINT (-108.10983 43.235541),West,WY,Mountain,Yes,High,2020-2024
2021,Oklahoma,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Overall,Age,65+,65+,None,Total Cost per Person with Diabetes (Dollars),Total Cost per PWD ($),"14,659",40,POINT (-97.52107 35.472031),South,OK,West South Central,Yes,High,2020-2024
2021,Connecticut,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Males,Age,45-64,45-64,None,Household Productivity Cost (Dollars in Millions),Household Productivity Cost ($ in Millions),132.8,9,POINT (-72.649841 41.562661),Northeast,CT,New England,Yes,Low,2020-2024
2021,Alaska,By Payer,"Annual Direct Medical Costs Attributable to Diabetes, by Payer",Sex,Males,Age,19-64,19-64,Other,Total Cost (Dollars in Millions),Total Cost ($ in Millions),196.9,2,POINT (-147.722059 64.84508),West,AK,Pacific,Yes,Low,2020-2024
2021,Arkansas,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Males,Age,45-64,45-64,None,Number of Persons Unable to Work because of Diabetes,PWD Unable to Work ATD,"2,586",5,POINT (-92.274491 34.74865),South,AR,West South Central,Yes,High,2020-2024
