Year,Location,Short Indicator Text,Long Indicator Text,Stratification 1,Stratification Group 1,Stratification 2,Stratification Group 2,Stratification Group 2 Label,Data Type,Data Type Label,Data Value,FIPS,Geolocation,Region,State Abbreviation,Census Division,Data Value Available Flag,Data Value Category,Year Group,Location Type
2021,Minnesota,Cause-specific Deaths,Number of Diabetes-attributable Deaths in Persons Aged 15 Years or Older,Sex,Overall,Age,75+,75+,Cause-specific Diabetes-Attributable Deaths: End Stage Renal Disease,Deaths ATD: End Stage Renal Disease,182,27,POINT (-94.794201 46.355649),Midwest,MN,West North Central,Yes,High,2020-2024,State
2021,Massachusetts,Quality Adjusted Life Years Lost,Estimated Quality Adjusted Life Years (QALYs),Sex,Females,Age,65-74,65-74,Number of Persons with Diabetes (in thousands),PWD (in thousands),76,25,POINT (-72.082691 42.27687),Northeast,MA,New England,Yes,Medium,2020-2024,State
2021,Kansas,Years of Potential Life Lost,Estimated Years of Potential Life Lost (YPLL) due to Diabetes,Sex,Males,Age,18+,Average/Total,Average YPLLs due to Diabetes,Average YPLLs ATD,4.3,20,POINT (-98.200781 38.34774),Midwest,KS,West North Central,Yes,Low,2020-2024,State
2021,Florida,Diabetes Cause of Death,Number of Deaths with Diabetes as Underlying Cause of Death (UCOD) in Persons Aged 15 Years or Older,Sex,Overall,Age,15-44,15-44,Number of Deaths,Number of Deaths,309,12,POINT (-81.928961 28.93204),South,FL,South Atlantic,Yes,High,2020-2024,State
2021,Hawaii,Years of Potential Life Lost,Estimated Years of Potential Life Lost (YPLL) due to Diabetes,Sex,Males,Age,45-64,45-64,Number of Persons with Diabetes (in thousands),PWD (in thousands),23,15,POINT (-157.857749 21.30485),West,HI,Pacific,Yes,Medium,2020-2024,State
2021,New Hampshire,Quality Adjusted Life Years Lost,Estimated Quality Adjusted Life Years (QALYs),Sex,Males,Age,75+,75+,Total QALYs Lost due to Diabetes (in thousands),Total QALYs Lost ATD (in thousands),13.6,33,POINT (-71.500361 43.65595),Northeast,NH,New England,Yes,Low,2020-2024,State
2021,West Virginia,Years of Potential Life Lost,Estimated Years of Potential Life Lost (YPLL) due to Diabetes,Sex,Females,Age,18+,Average/Total,Average YPLLs due to Diabetes,Average YPLLs ATD,3.8,54,POINT (-80.71264 38.66551),South,WV,South Atlantic,Yes,Low,2020-2024,State
2021,Oklahoma,Years of Potential Life Lost,Estimated Years of Potential Life Lost (YPLL) due to Diabetes,Sex,Males,Age,65-74,65-74,Average YPLLs due to Diabetes,Average YPLLs ATD,2.6,40,POINT (-97.52107 35.472031),South,OK,West South Central,Yes,Low,2020-2024,State
2021,Arkansas,Cause-specific Deaths,Number of Diabetes-attributable Deaths in Persons Aged 15 Years or Older,Sex,Overall,Age,15+,Total,Cause-specific Diabetes-Attributable Deaths: Cardiovascular Disease (Estimated),Deaths ATD: Cardiovascular Disease,"1,570",05,POINT (-92.274491 34.74865),South,AR,West South Central,Yes,High,2020-2024,State
2021,Idaho,Diabetes Cause of Death,"Deaths with Diabetes as Underlying Cause of Death (UCOD) per 100,000 Persons Aged 15 Years or Older",Sex,Females,Age,15-44,15-44,"Deaths per 100,000","Deaths per 100,000",0,16,POINT (-114.36373 43.68263),West,ID,Mountain,Yes,Low,2020-2024,State
2021,Wisconsin,Cause-specific Deaths,"Diabetes-attributable deaths per 100,000 Persons Aged 15 Years or Older",Sex,Males,Age,15-44,15-44,All Causes of Death (Estimated),All Causes of Death,15,55,POINT (-89.816371 44.393191),Midwest,WI,East North Central,Yes,Low,2020-2024,State
2021,Mississippi,Cause-specific Deaths,"Diabetes-attributable deaths per 100,000 Persons Aged 15 Years or Older",Sex,Males,Age,15-44,15-44,All Causes of Death (Estimated),All Causes of Death,54,28,POINT (-89.538031 32.74551),South,MS,East South Central,Yes,Medium,2020-2024,State
2021,Washington,Quality Adjusted Life Years Lost,Estimated Quality Adjusted Life Years (QALYs),Sex,Females,Age,45-64,45-64,Number of Persons with Diabetes (in thousands),PWD (in thousands),117,53,POINT (-120.470011 47.522279),West,WA,Pacific,Yes,Medium,2020-2024,State
2021,District of Columbia,Diabetes Cause of Death,Number of Deaths with Diabetes as Underlying Cause of Death (UCOD) in Persons Aged 15 Years or Older,Sex,Overall,Age,75+,75+,Number of Deaths,Number of Deaths,60,11,POINT (-77.031961 38.890371),South,DC,South Atlantic,Yes,Medium,2020-2024,District
2021,Texas,Cause-specific Deaths,Number of Diabetes-attributable Deaths in Persons Aged 15 Years or Older,Sex,Males,Age,45-64,45-64,Cause-specific Diabetes-Attributable Deaths: Cardiovascular Disease (Estimated),Deaths ATD: Cardiovascular Disease,"1,860",48,POINT (-99.42677 31.82724),South,TX,West South Central,Yes,High,2020-2024,State
