"Year","Software Version","Patient County","PQI Number","PQI Name","Observed Rate Per 100,000 People","Expected Rate Per 100,000 People"
"2014","5.0","Kings","PQI_01","Diabetes Short-Term Complications","72.99","81.42"
"2014","5.0","Kings","PQI_03","Diabetes Long-Term Complications","175.07","151.21"
"2014","5.0","Kings","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","19.37","18.65"
"2014","5.0","New York","PQI_01","Diabetes Short-Term Complications","52.88","61.22"
"2014","5.0","New York","PQI_03","Diabetes Long-Term Complications","121.89","121.72"
"2014","5.0","New York","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","16.21","15.45"
"2014","5.0","Queens","PQI_01","Diabetes Short-Term Complications","52.32","67.02"
"2014","5.0","Queens","PQI_03","Diabetes Long-Term Complications","125.72","144.52"
"2014","5.0","Queens","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","13.75","17.68"
"2014","5.0","Richmond","PQI_01","Diabetes Short-Term Complications","51.98","56.32"
"2014","5.0","Richmond","PQI_03","Diabetes Long-Term Complications","167.42","109.46"
"2014","5.0","Richmond","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","8.75","13.90"
"2013","4.5","Bronx","PQI_01","Diabetes Short-Term Complications","120.46","90.14"
"2013","4.5","Bronx","PQI_03","Diabetes Long-Term Complications","282.44","186.33"
"2013","4.5","Bronx","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","36.00","20.84"
"2013","4.5","Kings","PQI_01","Diabetes Short-Term Complications","68.63","80.62"
"2013","4.5","Kings","PQI_03","Diabetes Long-Term Complications","185.91","160.24"
"2013","4.5","Kings","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","18.74","18.08"
"2013","4.5","New York","PQI_01","Diabetes Short-Term Complications","54.71","61.21"
"2013","4.5","New York","PQI_03","Diabetes Long-Term Complications","128.99","130.39"
"2013","4.5","New York","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","15.06","14.97"
"2013","4.5","Queens","PQI_01","Diabetes Short-Term Complications","49.32","67.75"
"2013","4.5","Queens","PQI_03","Diabetes Long-Term Complications","131.60","153.75"
"2013","4.5","Queens","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","10.49","17.15"
"2013","4.5","Richmond","PQI_01","Diabetes Short-Term Complications","54.76","55.55"
"2013","4.5","Richmond","PQI_03","Diabetes Long-Term Complications","173.31","113.91"
"2013","4.5","Richmond","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","11.77","13.38"
"2012","4.5","Bronx","PQI_01","Diabetes Short-term Complications","127.71","91.63"
"2012","4.5","Bronx","PQI_03","Diabetes Long-term Complications","293.15","191.40"
"2012","4.5","Bronx","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","31.24","19.47"
"2012","4.5","Kings","PQI_01","Diabetes Short-term Complications","79.42","80.19"
"2012","4.5","Kings","PQI_03","Diabetes Long-term Complications","207.02","164.01"
"2012","4.5","Kings","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","17.27","17.05"
"2012","4.5","New York","PQI_01","Diabetes Short-term Complications","61.38","61.27"
"2012","4.5","New York","PQI_03","Diabetes Long-term Complications","136.84","132.88"
"2012","4.5","New York","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","13.20","13.86"
"2012","4.5","Queens","PQI_01","Diabetes Short-term Complications","52.47","69.41"
"2012","4.5","Queens","PQI_03","Diabetes Long-term Complications","139.04","160.93"
"2012","4.5","Queens","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","12.76","16.39"
"2012","4.5","Richmond","PQI_01","Diabetes Short-term Complications","45.76","55.66"
"2012","4.5","Richmond","PQI_03","Diabetes Long-term Complications","179.08","118.80"
"2012","4.5","Richmond","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","11.00","12.54"
"2011","4.5","Bronx","PQI_01","Diabetes Short-term Complications","116.71","86.02"
"2011","4.5","Bronx","PQI_03","Diabetes Long-term Complications","302.94","208.89"
"2011","4.5","Bronx","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","29.48","19.36"
"2011","4.5","Kings","PQI_01","Diabetes Short-term Complications","77.99","80.41"
"2011","4.5","Kings","PQI_03","Diabetes Long-term Complications","218.90","184.69"
"2011","4.5","Kings","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","18.15","17.60"
"2011","4.5","New York","PQI_01","Diabetes Short-term Complications","45.76","57.42"
"2011","4.5","New York","PQI_03","Diabetes Long-term Complications","135.19","142.89"
"2011","4.5","New York","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","14.63","13.75"
"2011","4.5","Queens","PQI_01","Diabetes Short-term Complications","49.61","64.79"
"2011","4.5","Queens","PQI_03","Diabetes Long-term Complications","142.01","172.59"
"2011","4.5","Queens","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","11.44","16.17"
"2011","4.5","Richmond","PQI_01","Diabetes Short-term Complications","39.16","52.91"
"2011","4.5","Richmond","PQI_03","Diabetes Long-term Complications","181.50","128.04"
"2011","4.5","Richmond","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","10.56","12.65"
"2010","4.5","Bronx","PQI_01","Diabetes Short-term Complications","126.83","83.82"
"2010","4.5","Bronx","PQI_03","Diabetes Long-term Complications","312.84","206.91"
"2010","4.5","Bronx","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","28.27","18.59"
"2010","4.5","Kings","PQI_01","Diabetes Short-term Complications","73.70","76.34"
"2010","4.5","Kings","PQI_03","Diabetes Long-term Complications","228.47","191.07"
"2010","4.5","Kings","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","18.92","17.93"
"2010","4.5","New York","PQI_01","Diabetes Short-term Complications","48.84","55.00"
"2010","4.5","New York","PQI_03","Diabetes Long-term Complications","133.32","147.18"
"2010","4.5","New York","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","11.22","13.86"
"2010","4.5","Queens","PQI_01","Diabetes Short-term Complications","44.99","62.48"
"2010","4.5","Queens","PQI_03","Diabetes Long-term Complications","143.33","173.47"
"2010","4.5","Queens","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","10.45","15.73"
"2010","4.5","Richmond","PQI_01","Diabetes Short-term Complications","41.69","49.83"
"2010","4.5","Richmond","PQI_03","Diabetes Long-term Complications","164.01","124.41"
"2010","4.5","Richmond","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","10.34","11.99"
"2009","4.5","Bronx","PQI_01","Diabetes Short-term Complications","122.10","83.38"
"2009","4.5","Bronx","PQI_03","Diabetes Long-term Complications","303.82","208.89"
"2009","4.5","Bronx","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","24.09","19.25"
"2009","4.5","Kings","PQI_01","Diabetes Short-term Complications","78.76","77.33"
"2009","4.5","Kings","PQI_03","Diabetes Long-term Complications","227.59","195.36"
"2009","4.5","Kings","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","18.92","18.59"
"2009","4.5","New York","PQI_01","Diabetes Short-term Complications","55.55","54.78"
"2009","4.5","New York","PQI_03","Diabetes Long-term Complications","147.84","147.40"
"2009","4.5","New York","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","12.32","14.52"
"2009","4.5","Queens","PQI_01","Diabetes Short-term Complications","44.77","63.47"
"2009","4.5","Queens","PQI_03","Diabetes Long-term Complications","149.16","174.79"
"2009","4.5","Queens","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","12.32","16.17"
"2009","4.5","Richmond","PQI_01","Diabetes Short-term Complications","49.61","49.28"
"2009","4.5","Richmond","PQI_03","Diabetes Long-term Complications","174.79","124.08"
"2009","4.5","Richmond","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","13.64","12.43"
